 Message (if any),رسالة (اختياري)
``` *  *  *  *  * ┬  ┬  ┬  ┬  ┬ │  │  │  │  │ │  │  │  │  └ day of week (0 - 6) (0 is Sunday) │  │  │  └───── month (1 - 12) │  │  └────────── day of month (1 - 31) │  └─────────────── hour (0 - 23) └──────────────────── minute (0 - 59)  ---  * - Any value / - Step values  ```,``` *  *  *  *  * ┬  ┬  ┬  ┬  ┬ │  │  │  │  │ │  │  │  │  └ يوم الأسبوع (0 - 6) (0 هو الأحد) │  │  │  └───── الشهر (1 - 12) │  │  └────────── يوم الشهر (1 - 31) │  └─────────────── الساعة (0 - 23) └──────────────────── الدقيقة (0 - 59)  ---  * - أي قيمة / - قيم الخطوة  ```
`Allow Negative rates for Items`,`السماح بمعدلات سالبة للأصناف`
`as_iterator` only works with `as_list=True` or `as_dict=True`,يعمل `as_iterator` فقط مع `as_list=True` أو `as_dict=True`
`Freeze Stocks Older Than` should be smaller than %d days.,` تجميد المخزون الأقدم من يجب أن يكون أقل من ٪ d يوم ` .
`job_id` paramater is required for deduplication.,معلمة `job_id` مطلوبة لإزالة التكرار.
_doctype,_doctype
_report,_تقرير
- {},- {}
- Item {0} in row(s) {1} billed more than {2},- Item {0} in row(s) {1} billed more than {2}
"- Packed Item {0}: Required {1}, Available {2}","- Packed Item {0}: Required {1}, Available {2}"
-- No Campaign --,-- بدون حملة --
-- Select --,-- اختر --
", ###, Note  * You can use Jinja tags in **Subject** and **Body** fields for dynamic values. * All fields in this doctype are available under the **doc** object and all fields for the customer to whom the mail will go to is available under the **customer** object.  ###, Examples  * **Subject**:,   ,   ```   Statement Of Accounts for {{ customer.customer_name }}   ``` * **Body**: ,   ,   ```   Hello {{ customer.customer_name }},,   PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.    ```",", ###, Note  * You can use Jinja tags in **Subject** and **Body** fields for dynamic values. * All fields in this doctype are available under the **doc** object and all fields for the customer to whom the mail will go to is available under the **customer** object.  ###, Examples  * **Subject**:,   ,   ```   Statement Of Accounts for {{ customer.customer_name }}   ``` * **Body**: ,   ,   ```   Hello {{ customer.customer_name }},,   PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.    ```"
; not allowed in condition,; غير مسموح به في حالة
!=,لا يساوي
...Adding Article to Topics,... إضافة مادة إلى المواضيع
...Adding Course to Programs,... إضافة دورة إلى البرامج
...Adding Quiz to Topics,... إضافة مسابقة إلى المواضيع
...Adding Topic to Courses,... إضافة موضوع إلى الدورات
'{0}' account is already used by {1}. Use another account.,{0} الحساب مستخدم بواسطة{1} استخدم حساب آخر.
'{0}' has been already added.,تمت إضافة '{0}' بالفعل.
'{0}' is not a valid IBAN,'{0}' is not a valid IBAN
'{0}' is not a valid IBAN,'{0}' is not a valid IBAN
'{0}' is not a valid URL,"""{0}"" ليس عنوان URL صالحًا"
'{0}' not allowed for type {1} in row {2},&quot;{0}&quot; غير مسموح به للنوع {1} في الصف {2}
'{0}' should be in company currency {1}.,يجب أن يكون '{0}' بعملة الشركة {1}.
'Account' in the Accounting section of Customer {0},'الحساب' في قسم المحاسبة الخاص بالعميل {0}
'Allow Multiple Sales Orders Against a Customer's Purchase Order','السماح بإنشاء طلبات مبيعات متعددة مقابل طلب الشراء الخاص بالعميل'
'Based On' and 'Group By' can not be same,'على أساس' و 'المجموعة حسب' لا يمكن أن يكونا نفس الشيء
'Date' is required,&quot;التاريخ&quot; مطلوب
'Days Since Last Order' must be greater than or equal to zero,"يجب أن تكون ""الأيام منذ آخر طلب"" أكبر من أو تساوي الصفر"
'Default {0} Account' in Company {1},'حساب {0} الافتراضي' في شركة {1}
'employee_field_value' and 'timestamp' are required.,مطلوب &quot;employee_field_value&quot; و &quot;الطابع الزمني&quot;.
'Entries' cannot be empty,المدخلات لا يمكن أن تكون فارغة
'From Date' is required,من تاريخ (مطلوب)
'From Date' must be after 'To Date',"""من تاريخ "" يجب أن يكون بعد "" إلى تاريخ """
'Has Serial No' can not be 'Yes' for non-stock item,"""لهُ رقم تسلسل""  لا يمكن ان يكون ""نعم"" لبند غير قابل للتخزين"
'In Global Search' is not allowed for field {0} of type {1},"خاصية ""في البحث العام"" غير مسموح بها للحقل {0} من النوع {1}"
'In Global Search' not allowed for type {0} in row {1},"""في البحث العام"" غير مسموح للنوع {0} في الصف {1}"
'In List View' is not allowed for field {0} of type {1},"خاصية ""في عرض القائمة"" غير مسموح بها للحقل {0} من النوع {1}"
'In List View' not allowed for type {0} in row {1},'في عرض القائمة' غير مسموح للنوع {0} في الصف {1}
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",'الفحص المطلوب قبل التسليم' للعنصر {0} تم تعطيله، لذا لا داعي لإنشاء فحص الجودة
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",'الفحص المطلوب قبل الشراء' للعنصر {0} قد تم تعطيله، لذا لا داعي لإنشاء فحص الجودة
'Opening','افتتاحي'
'Recipients' not specified,لم يتم تحديد &quot;المستلمين&quot;
'To Case No.' cannot be less than 'From Case No.','الى الحالة  رقم' لا يمكن أن يكون أقل من 'من الحالة رقم'
'To Date' is required,' إلى تاريخ ' مطلوب
'To Package No.' cannot be less than 'From Package No.',لا يمكن أن يكون 'الطرد إلى' أقل من 'الطرد من'
'Total',&#39;مجموع&#39;
'Update Stock' can not be checked because items are not delivered via {0},&quot;الأوراق المالية التحديث&quot; لا يمكن التحقق من أنه لم يتم تسليم المواد عن طريق {0}
